filename,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us)
redis_output/workloadc/10/histogram_2.txt,714.27,50,6995,,,
redis_output/workloadc/3/timeseries_2.txt,511.438,74,4766,,,
redis_output/workloadc/3/timeseries_1.txt,454.626,56,4625,,,
redis_output/workloadc/3/histogram_1.txt,422.084,63,4596,,,
redis_output/workloadc/3/histogram_2.txt,501.663,38,9308,,,
redis_output/workloadd/16/timeseries_2.txt,1061.4178010471205,29,19200,,,
redis_output/workloadd/16/timeseries_1.txt,1251.318039624609,45,13826,,,
redis_output/workloadd/16/histogram_1.txt,1010.1043663471778,49,7260,,,
redis_output/workloadd/16/histogram_2.txt,1125.2589852008457,54,11921,,,
redis_output/workloadd/6/timeseries_2.txt,993.3375262054508,82,11540,,,
redis_output/workloadd/6/timeseries_1.txt,699.6040126715945,63,14080,,,
redis_output/workloadd/6/histogram_1.txt,773.7664921465969,76,12236,,,
redis_output/workloadd/6/histogram_2.txt,886.0653319283456,64,6024,,,
redis_output/workloadd/10/timeseries_2.txt,638.879746835443,41,13457,,,
redis_output/workloadd/10/timeseries_1.txt,1100.6038135593221,45,14764,,,
redis_output/workloadd/10/histogram_1.txt,768.1190727081138,44,6560,,,
redis_output/workloadd/10/histogram_2.txt,1172.6962962962964,105,9298,,,
redis_output/workloadd/3/timeseries_2.txt,586.4239244491081,52,10914,,,
redis_output/workloadd/3/timeseries_1.txt,768.0464135021097,102,7898,,,
redis_output/workloadd/3/histogram_1.txt,1063.0977917981072,88,10434,,,
redis_output/workloadd/3/histogram_2.txt,658.0021008403361,38,10527,,,
redis_output/workloada/32/timeseries_2.txt,2550.3869047619046,56,43594,4874.860887096775,153,50734
redis_output/workloada/32/timeseries_1.txt,2478.079840319361,57,24534,4163.879759519038,66,21603
redis_output/workloada/32/histogram_1.txt,2073.7305263157896,100,19122,3432.1657142857143,101,19163
redis_output/workloada/32/histogram_2.txt,2143.8818897637793,91,42501,3891.3638211382113,89,37427
redis_output/workloada/16/timeseries_2.txt,1452.4939516129032,102,11878,1706.1289682539682,106,18094
redis_output/workloada/16/timeseries_1.txt,2028.59686888454,94,23709,2424.028629856851,98,24594
redis_output/workloada/16/histogram_1.txt,2111.9144050104383,72,26601,2469.1209213051825,79,25836
redis_output/workloada/16/histogram_2.txt,2090.47975708502,112,15161,2586.6699604743085,113,22135
redis_output/workloada/6/timeseries_2.txt,473.5622406639004,43,6759,572.9169884169884,67,11311
redis_output/workloada/6/timeseries_1.txt,979.5172413793103,49,10431,1146.0230125523012,38,9398
redis_output/workloada/6/histogram_1.txt,1166.5123966942149,71,12376,1285.9089147286822,93,13584
